class,reg,no_account,account,root_type,account_type,is_group
2,3,239,Immobilisations corporelles en cours,,Fixed Asset,1
2,4,2392,Immobilisations corporelles en cours des terrains et constructions,,Fixed Asset,0
2,4,2393,"Immobilisations corporelles en cours des installations techniques, materiel et outillage",,Fixed Asset,0
2,4,2394,Immobilisations corporelles en cours de materiel de transport,,Fixed Asset,0
2,4,2395,"Immobilisations corporelles en cours de mobilier, materiel de bureau et amenagements divers",,Fixed Asset,0
2,4,2397,Avances et acomptes verses sur commandes d'immobilisations corporelles,,Fixed Asset,0
2,4,2398,Autres immobilisations corporelles en cours,,Fixed Asset,0
2,2,24,IMMOBILSATIONS FINANCIERES,,,1
2,3,241,Prets immobilses,,Receivable,0
2,4,2441,Prets au personnel,,Receivable,0
2,4,2415,Prets aux associes,,Receivable,0
2,4,2416,Billets de fonds,,Receivable,0
2,4,2418,Autres prets,,Receivable,0
2,3,248,Autres creances financieres,,Receivable,1
2,4,2481,Titres immobilises (droits de creance),,Receivable,1
2,5,24811,Obligations,,Receivable,0
2,5,24813,Bons d'equipement,,Receivable,0
2,5,24818,Bons divers,,Receivable,0
2,4,2483,Creances rattachees a des participations,,Receivable,0
2,4,2486,Depots et cautionnements verses,,Receivable,1
2,5,24861,Depots,,Receivable,0
2,5,24864,Cautionnements,,Receivable,0
2,4,2487,Creances immobilisees,,Receivable,0
2,4,2488,Creances financeres diverses,,Receivable,0
2,2,25,IMMOBILSATIONS FINANCIERES,,,1
2,3,251,Titres de participation,,Receivable,1
2,4,2510,Titres de participation,,Receivable,0
2,3,258,Autres titres immobilises,,Receivable,1
2,4,2581,Actions,,Receivable,0
2,4,2588,Titres divers,,Receivable,0
2,2,27,ECARTS DE CONVERSION - ACTIF,,,1
2,3,271,Diminution des creances immobilisees,,,1
2,4,2710,Diminution des creances immobilisees,,,0
2,3,272,Augmentation des dettes de financement,,,1
2,4,2720,Augmentation des dettes de financement,,,0
2,2,28,AMORTISSEMENTS DES IMMOBILISATIONS,,Accumulated Depreciation,1
2,3,281,Amortissements des non-valeurs,,Accumulated Depreciation,1
2,4,2811,Amortissements des frais preliminaires,,Accumulated Depreciation,1
2,5,28111,Amortissements des frais de constitution,,Accumulated Depreciation,0
2,5,28112,Amortissements des frais preliminaires au demarrage,,Accumulated Depreciation,0
2,5,28113,Amortissements des frais d'augmentation du capital,,Accumulated Depreciation,0
2,5,28114,"Amortissements des frais sur operations de fusions, scissions, et transformations",,Accumulated Depreciation,0
2,5,28116,Amortissements des frais de prospection,,Accumulated Depreciation,0
2,5,28117,Amortissements des frais de publicite,,Accumulated Depreciation,0
2,5,28118,Amortissements des autres frais preliminaires,,Accumulated Depreciation,0
2,4,2812,Amortissements des charges a repartir,,Accumulated Depreciation,1
2,5,28121,Amortissements des frais d'acquisition des immobilisations,,Accumulated Depreciation,0
2,5,28125,Amortissements des frais d'emission des emprunts,,Accumulated Depreciation,0
2,5,28128,Amortissements des autres charges a repartir,,Accumulated Depreciation,0
2,4,2813,Amortissements des primes de remboursement des obligations,,Accumulated Depreciation,0
2,3,282,Amortissements des immobilisations incorporelles,,Accumulated Depreciation,1
2,4,2821,Amortissements de l'immobilisation en recherche et developpement,,Accumulated Depreciation,0
2,4,2822,"Amortissements des brevets, marques, droits et valeurs similaires",,Accumulated Depreciation,0
2,4,2823,Amortissements du fonds commercial,,Accumulated Depreciation,0
2,4,2828,Amortissements des autres immobilisations incorporelles,,Accumulated Depreciation,0
2,3,283,Amortissements des immobilisations corporelles,,Accumulated Depreciation,1
2,4,2831,Amortissements des terrains,,Accumulated Depreciation,1
2,5,28311,Amortissements des terrains nus,,Accumulated Depreciation,0
2,5,28312,Amortissements des terrains amenages,,Accumulated Depreciation,0
2,5,28313,Amortissements des terrains bâtis,,Accumulated Depreciation,0
2,5,28314,Amortissements des terrains de gisement,,Accumulated Depreciation,0
2,5,28136,Amortissements des agencements et amenagements de terrains,,Accumulated Depreciation,0
2,5,28138,Amortissements des autres terrains,,Accumulated Depreciation,0
2,4,2832,Amortissements des constructions,,Accumulated Depreciation,1
2,5,28321,Amortissements des bâtiments,,Accumulated Depreciation,0
2,5,28323,Amortissements des constructions sur terrains d'autrui,,Accumulated Depreciation,0
2,5,28325,Amortissements des ouvrages d'infrastructure,,Accumulated Depreciation,0
2,5,28327,"Amortissements des installations, agencements et amenagements des constructions",,Accumulated Depreciation,0
2,5,28328,Amortissements des autres constructions,,Accumulated Depreciation,0
2,4,2833,"Amortissements des installations techniques, materiel et outillage",,Accumulated Depreciation,1
2,5,28331,Amortissements des installations techniques,,Accumulated Depreciation,0
2,5,28332,Amortissements du materiel et outillage,,Accumulated Depreciation,0
2,5,28333,Amortissements des emballages recuperables ident ifiables,,Accumulated Depreciation,0
2,5,28338,"Amortissements des autres installations techniques, materiel et outillage",,Accumulated Depreciation,0
2,4,2834,Amortissements du materiel de transport,,Accumulated Depreciation,0
2,4,2835,"Amortissements du mobilier, materiel de bureau et amenagements divers",,Accumulated Depreciation,1
2,5,28351,Amortissements du mobilier de bureau,,Accumulated Depreciation,0
2,5,28352,Amortissements du materiel de bureau,,Accumulated Depreciation,0
2,5,28355,Amortissements du materiel informatique,,Accumulated Depreciation,0
2,5,28356,"Amortissements des agencements, installations et amenagements divers",,Accumulated Depreciation,0
2,5,28358,"Amortissements des autres mobilier, materiel de bureau et amenagements divers",,Accumulated Depreciation,0
2,4,2838,Amortissements des autres immobilisations corporelles,,Accumulated Depreciation,0
2,2,29,PROVISIONS POUR DEPRECIATION DES IMMOBILISATIONS,,,1
2,3,292,Provisions pour depreciation des immobilisations incorporelles,,,1
2,4,2920,Provisions pour depreciation des immobilisations incorporelles,,,0
2,3,293,Provisions pour depreciation des immobilisations corporelles,,,1
2,4,2930,Provisions pour depreciation des immobilisations corporelles,,,0
2,3,294,Provisions pour depreciation des immobilisations financieres,,,1
2,4,2941,Provisions pour depreciation des prets immobilises,,,0
2,4,2948,Provisions pour depreciation des autres creances financieres,,,0
2,3,295,Provisions pour depreciation des immobilisations financieres,,,1
2,4,2951,Provisions pour depreciation des titres de participation,,,0
2,4,2958,Provisions pour depreciation des autres titres immobilises,,,0
3,1,3,COMPTES D'ACTIF CIRCULANT (HORS TRESORERIE),Asset,,1
3,2,31,STOCKS,,Stock,1
3,3,311,Marchandises,,Stock,1
3,4,3111,Marchandises (groupe A),,Stock,0
3,4,3112,Marchandises (groupe B),,Stock,0
3,4,3116,Marchandises en cours de route,,Stock,0
3,4,3118,Autres marchandises,,Stock,0
3,3,312,Matieres et fournitures consommables,,Stock,1
3,4,3121,Matieres premieres,,Stock,1
3,5,31211,Matieres premieres (groupe A),,Stock,0
3,5,31212,Matieres premieres (groupe B),,Stock,0
3,4,3122,Matieres et fournitures consommables,,Stock,1
3,5,31221,Matieres consommables (groupe A),,Stock,0
3,5,31222,Matieres consommables (groupe B),,Stock,0
3,5,31223,Combustibles,,Stock,0
3,5,31224,Produits d'entretien,,Stock,0
3,5,31225,Fournitures d'atelier et d'usine,,Stock,0
3,5,31226,Fournitures de magasin,,Stock,0
3,5,31227,Fournitures de bureau,,Stock,0
3,4,3123,Emballages,,Stock,1
3,5,31231,Emballages perdus,,Stock,0
3,5,31232,Emballages recuperables non identifiables,,Stock,0
3,5,31233,Emballages a usage mixte,,Stock,0
3,4,3126,Matieres et fournitures consommables en cours de route,,Stock,0
3,4,3128,Autres matieres et fournitures consommables,,Stock,0
3,3,313,Produits en cours,,Stock,1
3,4,3131,Biens en cours,,Stock,1
3,5,31311,Biens produits en cours,,Stock,0
3,5,31312,Biens intermediaires en cours,,Stock,0
3,5,31317,Biens residuels en cours,,Stock,0
3,4,3134,Services en cours,,Stock,1
3,5,31341,Travaux en cours,,Stock,0
3,5,31342,Etudes en cours,,Stock,0
3,5,31343,Prestations en cours,,Stock,0
3,4,3138,Autres produits en cours,,Stock,0
3,3,314,Produits intermediaires et produits residuels,,Stock,1
3,4,3141,Produits intermediaires,,Stock,1
3,5,31411,Produits intermediaires (groupe A),,Stock,0
3,5,31412,Produits intermediaires (groupe B),,Stock,0
3,4,3145,Produits residuels (ou matieres de recuperation),,Stock,1
3,5,31451,Dechets,,Stock,0
3,5,31452,Rebuts,,Stock,0
3,5,31453,Matieres de recuperation,,Stock,0
3,4,3148,Autres produits intermediaires et produits residuels,,Stock,0
3,3,315,Produits finis,,Stock,1
3,4,3151,Produits finis (groupe A),,Stock,0
3,4,3152,Produits finis (groupe B),,Stock,0
3,4,3156,Produits finis en cours de route,,Stock,0
3,4,3158,Autres produits finis,,Stock,0
3,2,34,CREANCES DE L'ACTIF CIRCULANT,,,1
3,3,341,"Fournisseurs debiteurs, avances et acomptes",,Receivable,1
3,4,3411,Fournisseurs - avances et acomptes verses sur commandes d'exploitation,,Receivable,0
3,4,3413,Fournisseurs - creances pour emballages et materiel a rendre,,Receivable,0
3,4,3417,"Rabais, remises et ristournes a obtenir - avoirs non encore recus",,Receivable,0
3,4,3418,Autres fournisseurs debiteurs,,Receivable,0
3,3,342,Clients et comptes rattaches,,Receivable,1
3,4,3421,Clients,,Receivable,1
3,5,34211,Clients - categorie A,,Receivable,0
3,5,34212,Clients - categorie B,,Receivable,0
3,4,3423,Clients - retenues de garantie,,Receivable,0
3,4,3424,Clients douteux ou litigieux,,Receivable,0
3,4,3425,Clients - effets a recevoir,,Receivable,0
3,4,3427,Clients - factures a etablir et creances sur travaux non encore factures,,Receivable,1
3,5,34271,Clients - factures a etablir,,Receivable,0
3,5,34272,Creances sur travaux non encore facturables,,Receivable,0
3,4,3428,Autres clients et comptes rattaches,,Receivable,0
3,3,343,Personnel - debiteur,,Receivable,1
3,4,3431,Avances et acomptes au personnel,,Receivable,0
3,4,3438,Personnel - autres debiteurs,,Receivable,0
3,3,345,Etat - debiteur,,Receivable,1
3,4,3451,Subventions a recevoir,,Receivable,1
3,5,34511,Subventions d'investissement a recevoir,,Receivable,0
3,5,34512,Subventions d'exploitation a recevoir,,Receivable,0
3,5,34513,Subventions d'equilibre a recevoir,,Receivable,0
3,4,3453,Acomptes sur impots sur les resultats,,Receivable,0
3,4,3455,Etat - TVA recuperable,,Receivable,1
3,5,34551,Etat - TVA recuperable sur immobilisations,,Receivable,0
3,5,34552,Etat - TVA recuperable sur charges,,Receivable,0
3,4,3456,Etat - credit de TVA (suivant declaration),,Receivable,0
3,4,3458,Etat - autres comptes debiteurs,,Receivable,0
3,3,346,Comptes d'associes - debiteurs,,Receivable,1
3,4,3461,Associes - comptes d'apport en societe,,Receivable,0
3,4,3462,Actionnaires - capital souscrit et appele non verse,,Receivable,0
3,4,3463,Comptes courants des associes debiteurs,,Receivable,0
3,4,3464,Associes - operations faites en commun,,Receivable,0
3,4,3467,Creances rattachees aux comptes d'associes,,Receivable,0
3,4,3468,Autres comptes d'associes debiteurs,,Receivable,0
3,3,348,Autres debiteurs,,Receivable,1
3,4,3481,Creances sur cessions d'immobilisations,,Receivable,0
3,4,3482,Creances sur cessions d'elements d'actif circulant,,Receivable,0
3,4,3487,Creances rattachees aux autres debiteurs,,Receivable,0
3,4,3488,Divers debiteurs,,Receivable,0
3,3,349,Comptes de regularisation - actif,,Receivable,1
3,4,3491,Charges constatees d'avance,,Receivable,0
3,4,3493,Interets courus et non echus a percevoir,,Receivable,0
3,4,3495,Comptes de repartition periodique des charges,,,0
3,4,3497,Comptes transitoires ou d'attente - debiteurs,,Temporary,0
3,2,35,TITRES ET VALEURS DE PLACEMENT,,,1
3,3,350,Titres et valeurs de placement,,,1
3,4,3501,"Actions, partie liberee",,,0
3,4,3502,"Actions, partie non liberee",,,0
3,4,3504,Obligations,,,0
3,4,3506,Bons de caisse et bons de tresor,,,1
3,5,35061,Bons de caisse,,,0
3,5,35062,Bons de tresor,,,0
3,4,3508,Autres titres et valeurs de placement similaires,,,0
3,2,37,ECART DE CONVERSION - ACTIF (Elements circulants),,,1
3,3,370,Ecart de conversion - Actif (elements circulants),,,1
3,4,3701,Diminution des creances circulantes,,,0
3,4,3702,Augmentation des dettes circulantes,,,0
3,2,39,PROVISIONS POUR DEPRECIATION DES COMPTES DE L'ACTIF CIRCULANT,,,1
3,3,391,Provisions pour depreciation des stocks,,,1
3,4,3911,Provisions pour depreciation des marchandises,,,0
3,4,3912,Provisions pour depreciation des matieres et fournitures,,,0
3,4,3913,Provisions pour depreciation des produits en cours,,,0
3,4,3914,Provisions pour depreciation des produits intermediaires,,,0
3,4,3915,Provisions pour depreciation des produits finis,,,0
3,3,394,Provisions pour depreciation des creances de l'actif circulant,,,1
3,4,3941,"Provisions pour depreciation - fournisseurs debiteurs, avances et acomptes",,,0
3,4,3942,Provisions pour depreciation des clients et comptes rattaches,,,0
3,4,3943,Provisions pour depreciation du personnel - debiteur,,,0
3,4,3946,Provisions pour depreciation des comptes d'associes debiteurs,,,0
3,4,3948,Provisions pour depreciation des autres debiteurs,,,0
3,3,395,Provisions pour depreciation des titres et valeurs de placement,,,1
3,4,3950,Provisions pour depreciation des titres et valeurs de placement,,,0
4,1,4,COMPTES DU PASSIF CIRCULANT (HORS TRESORERIE),Liability,,1
4,2,44,DETTES DU PASSIF CIRCULANT,,Payable,1
4,3,441,Fournisseurs et comptes rattaches,,Payable,1
4,4,4411,Fournisseurs,,Payable,1
4,5,44111,Fournisseurs - categorie A,,Payable,0
4,5,44112,Fournisseurs - categorie B,,Payable,0
4,4,4413,Fournisseurs - retenues de garantie,,Payable,0
4,4,4415,Fournisseurs - effets a payer,,Payable,0
4,4,4417,Fournisseurs - factures non parvenues,,Stock Received But Not Billed,0
4,4,4418,Autres fournisseurs et comptes rattaches,,Payable,0
4,3,442,"Clients crediteurs, avances et acomptes",,Payable,1
4,4,4421,Clients - avances et acomptes recus sur commandes en cours,,Payable,0
4,4,4425,Clients - dettes pour emballages et materiel consignes,,Payable,0
4,4,4427,"Rabais, remises et ristournes a accorder - avoirs a etablir",,Payable,0
4,4,4428,Autres clients crediteurs,,Payable,0
4,3,443,Personnel - crediteur,,Payable,1
4,4,4432,Remunerations dues au personnel,,Payable,0
4,4,4433,Depots du personnel crediteurs,,Payable,0
4,4,4434,Oppositions sur salaires,,Payable,0
4,4,4437,Charges du personnel a payer,,Payable,0
4,4,4438,Personnel - autres crediteurs,,Payable,0
4,3,444,Organismes sociaux,,Payable,1
4,4,4441,Caisse Nationale de la Securite Sociale,,Payable,0
4,4,4443,Caisses de retraite,,Payable,0
4,4,4445,Mutuelles,,Payable,0
4,4,4447,Charges sociales a payer,,Payable,0
4,4,4448,Autres organismes sociaux,,Payable,0
4,3,445,Etat - crediteur,,Payable,1
4,4,4452,"Etat Impots, taxes et assimiles",,Payable,1
4,5,44521,"Etat, taxe urbaine et taxe d'edilite",,Payable,0
4,5,44522,"Etat, patente",,Payable,0
4,5,44525,"Etat, IGR",,Payable,0
4,4,4453,"Etat, impots sur les resultats",,Payable,0
4,4,4455,"Etat, TVA facturee",,Payable,0
4,4,4456,"Etat, TVA due (suivant declarations)",,Payable,0
4,4,4457,"Etat, impots et taxes a payer",,Payable,0
4,4,4458,Etat - autres comptes crediteurs,,Payable,0
4,3,446,Comptes d'associes - crediteurs,,Payable,1
4,4,4461,Associes - capital a rembourser,,Payable,0
4,4,4462,Associes - versements recus sur augmentation de capital,,Payable,0
4,4,4463,Comptes courants des associes crediteurs,,Payable,0
4,4,4464,Associes - operations faites en commun,,Payable,0
4,4,4465,Associes - dividendes a payer,,Payable,0
4,4,4468,Autres comptes d'associes - crediteurs,,Payable,0
4,3,448,Autres creanciers,,Payable,1
4,4,4481,Dettes sur acquisitions d'immobilisations,,Payable,0
4,4,4483,Dettes sur acquisitions de titres et valeurs de placement,,Payable,0
4,4,4484,Obligations echues a rembourser,,Payable,0
4,4,4485,"Obligations, coupons a payer",,Payable,0
4,4,4487,Dettes rattachees aux autres creanciers,,Payable,0
4,4,4488,Divers creanciers,,Payable,0
4,3,449,Comptes de regularisation - passif,,Payable,1
4,4,4491,Produits constates d'avance,,Payable,0
4,4,4493,Interets courus et non echus a payer,,Payable,0
4,4,4495,Comptes de repartition periodique des produits,,Payable,0
4,4,4497,Comptes transitoires ou d'attente - crediteurs,,Temporary,0
4,2,45,AUTRES PROVISIONS POUR RISQUES ET CHARGES,,,1
4,3,450,Autres provisions pour risques et charges,,,1
4,4,4501,Provisions pour litiges,,,0
4,4,4502,Provisions pour garanties donnees aux clients,,,0
4,4,4505,"Provisions pour amendes, doubles droits et penalites",,,0
4,4,4506,Provisions pour pertes de change,,,0
4,4,4507,Provisions pour impots,,,0
4,4,4508,Autres provisions pour risques et charges,,,0
4,2,47,ECARTS DE CONVERSION - PASSIF (Elements circulants),,,1
4,3,470,Ecarts de conversion - passif (Elements circulants),,,1
4,4,4701,Augmentation des creances circulantes,,,0
4,4,4702,Diminution des dettes circulantes,,,0
5,1,5,COMPTES DE TRESORERIE,Asset,,1
5,2,51,TRESORERIE - ACTIF,,,1
5,3,511,Cheques et valeurs a encaisser,,Bank,1
5,4,5111,Cheques a encaisser ou a l'encaissement,,Bank,1
5,5,51111,Cheques en portefeuille,,Bank,0
5,5,51112,Cheques a l'encaissement,,Bank,0
5,4,5113,Effets a encaisser ou a l'encaissement,,Bank,1
5,5,51131,Effets echus a encaisser,,Bank,0
5,5,51132,Effets a l'encaissement,,Bank,0
5,4,5115,Virement de fonds,,Bank,0
5,4,5118,Autres valeurs a encaisser,,Bank,0
5,3,514,"Banques, Tresorerie Generale et cheques postaux debiteurs",,Bank,1
5,4,5141,Banques (solde debiteur),,Bank,0
5,4,5143,Tresorerie Generale,,Bank,0
5,4,5146,Cheques postaux,,Bank,0
5,4,5148,Autres etablissements financiers et assimiles (soldes debiteurs),,Bank,0
5,3,516,"Caisses, regies d'avances et accreditifs",,Cash,1
5,4,5161,Caisses,,Cash,1
5,5,51611,Caisse Centrale,,Cash,0
5,5,51613,Caisse (succursale ou agence A),,Cash,0
5,5,51614,Caisse (succursale ou agence B),,Cash,0
5,4,5165,Regies d'avances et accreditifs,,,0
5,2,55,TRESORERIE - PASSIF,,,1
5,3,552,Credits d'escompte,,,1
5,4,5520,Credits d'escompte,,,0
5,3,553,Credits de tresorerie,,,1
5,4,5530,Credits de tresorerie,,,0
5,3,554,Banques (solde crediteur),,,1
5,4,5541,Banques (solde crediteur),,,0
5,4,5548,Autres etablissements financiers et assimiles (soldes crediteurs),,,0
5,2,59,PROVISIONS POUR DEPRECIATION DES COMPTES DE TRESORERIE,,,1
5,3,590,Provisions pour depreciation des comptes de tresorerie,,,1
5,4,5900,Provisions pour depreciation des comptes de tresorerie,,,0
6,1,6,COMPTES DE CHARGES,Expense,,1
6,2,61,CHARGES D'EXPLOITATION,,,1
6,3,611,Achats revendus de marchandises,,Cost of Goods Sold,1
6,4,6111,"Achats de marchandises ""groupe A""",,Cost of Goods Sold,0
6,4,6112,"Achats de marchandises ""groupe B""",,Cost of Goods Sold,0
6,4,6114,Variation de stocks de marchandises,,Stock Adjustment,0
6,4,6118,Achats revendus de marchandises des exercices anterieurs,,Cost of Goods Sold,0
6,4,6119,"Rabais, remises et ristournes obtenus sur achats de marchandises",,,0
6,3,612,Achats consommes de matieres et fournitures,,Cost of Goods Sold,1
6,4,6121,Achats de matieres premieres,,Cost of Goods Sold,1
6,5,61211,Achats de matieres premieres A,,Cost of Goods Sold,0
6,5,61212,Achats de matieres premieres B,,Cost of Goods Sold,0
6,4,6122,Achats de matieres et fournitures consommables,,Cost of Goods Sold,1
6,5,61221,Achats de matieres et fournitures A,,Cost of Goods Sold,0
6,5,61222,Achats de matieres et fournitures B,,Cost of Goods Sold,0
6,5,61223,Achats de combustibles,,Cost of Goods Sold,0
6,5,61224,Achats de produits d'entretien,,Cost of Goods Sold,0
6,5,61225,Achats de fournitures d'atelier et d'usine,,Cost of Goods Sold,0
6,5,61226,Achats de fournitures de magasin,,Cost of Goods Sold,0
6,5,61227,Achats de fournitures de bureau,,Cost of Goods Sold,0
6,4,6123,Achats d'emballages,,Cost of Goods Sold,0
5,5,51231,Achats d'emballages perdus,,Cost of Goods Sold,0
6,5,61232,Achats d'emballages recuperables non identifiables,,Cost of Goods Sold,0
6,5,61233,Achats d'emballages a usage mixte,,Cost of Goods Sold,0
6,4,6124,Variation des stocks de matieres et fournitures,,Stock Adjustment,1
6,5,61241,Variation des stocks de matieres premieres,,Stock Adjustment,0
6,5,61242,Variation des stocks de matieres et fournitures consommables,,Stock Adjustment,0
6,5,61243,Variation des stocks des emballages,,Stock Adjustment,0
6,4,6125,Achats non stockes de matieres et fournitures,,Cost of Goods Sold,1
6,5,61251,"Achats de fournitures non stockables (eau, electricite,,)",,Cost of Goods Sold,0
6,5,61252,Achats de fournitures d'entretien,,Cost of Goods Sold,0
6,5,61253,Achats de petit outillage et petit equipement,,Cost of Goods Sold,0
